iter	Passed	Remaining
131	2288	15047
132	2302	15010
133	2316	14967
134	2331	14938
135	2346	14906
136	2362	14881
137	2378	14854
138	2394	14829
139	2409	14802
140	2426	14779
141	2440	14746
142	2456	14719
143	2471	14694
144	2486	14663
145	2501	14632
146	2516	14600
147	2530	14568
148	2545	14539
149	2559	14503
150	2573	14471
151	2588	14440
152	2602	14409
153	2616	14376
154	2631	14346
155	2645	14315
156	2660	14285
157	2675	14256
158	2690	14229
159	2704	14196
160	2718	14168
161	2734	14144
162	2749	14118
163	2764	14090
164	2778	14063
165	2793	14033
166	2807	14001
167	2821	13972
168	2835	13941
169	2850	13916
170	2864	13888
171	2878	13856
172	2893	13834
173	2908	13808
174	2922	13779
175	2936	13749
176	2951	13723
177	2965	13694
178	2979	13665
179	2993	13636
180	3008	13612
181	3023	13587
182	3036	13557
183	3051	13533
184	3067	13514
185	3084	13497
186	3099	13474
187	3114	13450
188	3128	13426
189	3143	13400
190	3157	13373
191	3171	13346
192	3185	13320
193	3200	13295
194	3214	13270
195	3228	13243
196	3243	13221
197	3258	13198
198	3272	13172
199	3287	13149
200	3301	13123
201	3315	13097
202	3329	13071
203	3343	13045
204	3356	13017
205	3371	12994
206	3386	12973
207	3400	12947
208	3429	12980
209	3444	12959
210	3460	12938
211	3475	12918
212	3489	12893
213	3504	12871
214	3518	12846
215	3532	12822
216	3547	12799
217	3561	12774
218	3575	12751
219	3591	12731
220	3605	12710
221	3619	12684
222	3643	12693
223	3665	12697
224	3687	12701
225	3705	12691
226	3724	12684
227	3741	12668
228	3760	12659
229	3779	12653
230	3796	12640
231	3814	12625
232	3831	12612
233	3848	12597
234	3866	12585
235	3882	12568
236	3898	12549
237	3914	12532
238	3929	12513
239	3945	12494
240	3961	12476
241	3976	12455
242	3991	12434
243	4006	12414
244	4022	12395
245	4037	12375
246	4053	12356
247	4068	12338
248	4084	12320
249	4100	12301
250	4115	12281
251	4131	12263
252	4148	12247
253	4163	12227
254	4178	12206
255	4193	12188
256	4209	12170
257	4225	12151
258	4240	12132
259	4256	12113
260	4272	12097
261	4288	12078
262	4304	12062
263	4321	12047
264	4338	12032
265	4357	12024
266	4381	12028
267	4399	12017
268	4418	12005
269	4434	11990
270	4452	11978
271	4470	11963
272	4484	11942
273	4499	11921
274	4513	11900
275	4529	11882
276	4544	11862
277	4559	11841
278	4574	11821
279	4589	11801
280	4603	11779
281	4619	11762
282	4634	11742
283	4649	11722
284	4664	11702
285	4678	11680
286	4694	11663
287	4709	11641
288	4723	11619
289	4737	11599
290	4753	11580
291	4768	11561
292	4782	11539
293	4796	11518
294	4811	11499
295	4826	11478
296	4839	11456
297	4854	11435
298	4868	11414
299	4883	11393
300	4897	11373
301	4913	11355
302	4941	11366
303	4967	11373
304	4986	11363
305	5007	11356
306	5024	11342
307	5042	11329
308	5059	11313
309	5076	11299
310	5093	11284
311	5109	11267
312	5126	11252
313	5142	11235
314	5158	11218
315	5174	11200
316	5189	11180
317	5204	11160
318	5218	11140
319	5232	11118
320	5247	11100
321	5262	11081
322	5276	11060
323	5291	11039
324	5306	11021
325	5322	11003
326	5337	10984
327	5352	10965
328	5367	10946
329	5381	10927
330	5395	10905
331	5410	10885
332	5424	10864
333	5438	10844
334	5453	10824
335	5468	10806
336	5482	10786
337	5496	10766
338	5511	10746
339	5525	10726
340	5540	10706
341	5554	10687
342	5570	10669
343	5585	10650
344	5599	10631
345	5614	10613
346	5628	10592
347	5643	10573
348	5657	10553
349	5671	10532
350	5686	10513
351	5700	10494
352	5715	10475
353	5731	10458
354	5745	10438
355	5759	10419
356	5773	10399
357	5787	10378
358	5801	10358
359	5815	10339
360	5830	10320
361	5844	10301
362	5858	10281
363	5872	10261
364	5887	10241
365	5901	10223
366	5917	10205
367	5932	10189
368	5947	10171
369	5962	10151
370	5976	10132
371	5990	10113
372	6005	10094
373	6019	10075
374	6033	10056
375	6049	10039
376	6063	10020
377	6078	10001
378	6093	9983
379	6107	9965
380	6121	9946
381	6136	9928
382	6151	9909
383	6165	9890
384	6180	9872
385	6194	9853
386	6209	9835
387	6231	9828
388	6254	9824
389	6277	9819
390	6301	9814
391	6319	9801
392	6337	9788
393	6354	9773
394	6371	9759
395	6388	9744
396	6404	9727
397	6421	9712
398	6437	9696
399	6452	9679
400	6469	9663
401	6484	9646
402	6513	9649
403	6527	9630
404	6541	9610
405	6555	9591
406	6569	9571
407	6583	9553
408	6598	9534
409	6614	9518
410	6628	9499
411	6643	9481
412	6656	9461
413	6671	9443
414	6685	9424
415	6699	9404
416	6713	9386
417	6728	9368
418	6743	9350
419	6757	9331
420	6771	9313
421	6786	9295
422	6801	9277
423	6815	9258
424	6829	9240
425	6843	9221
426	6858	9203
427	6872	9184
428	6886	9165
429	6899	9146
430	6914	9128
431	6928	9110
432	6942	9091
433	6957	9073
434	6972	9055
435	6986	9038
436	7000	9019
437	7014	9000
438	7030	8983
439	7044	8966
440	7059	8948
441	7073	8929
442	7087	8911
443	7101	8893
444	7115	8874
445	7129	8855
446	7144	8838
447	7158	8820
448	7172	8801
449	7186	8783
450	7200	8765
451	7216	8749
452	7231	8732
453	7246	8714
454	7261	8697
455	7275	8679
456	7290	8662
457	7304	8644
458	7319	8626
459	7333	8608
460	7347	8590
461	7362	8573
462	7381	8560
463	7397	8544
464	7412	8528
465	7428	8512
466	7447	8500
467	7462	8482
468	7478	8467
469	7492	8448
470	7510	8435
471	7528	8421
472	7545	8407
473	7563	8393
474	7585	8384
475	7605	8372
476	7629	8365
477	7660	8366
478	7678	8351
479	7694	8335
480	7709	8318
481	7725	8302
482	7740	8285
483	7754	8267
484	7769	8249
485	7784	8233
486	7801	8217
487	7817	8201
488	7832	8184
489	7846	8166
490	7860	8148
491	7874	8130
492	7889	8113
493	7904	8096
494	7920	8080
495	7935	8063
496	7954	8050
497	7971	8035
498	7990	8022
499	8010	8010
500	8029	7997
501	8045	7981
502	8063	7966
503	8080	7952
504	8097	7936
505	8112	7920
506	8128	7904
507	8142	7886
508	8157	7868
509	8172	7851
510	8185	7833
511	8201	7816
512	8215	7799
513	8230	7782
514	8244	7764
515	8256	7744
516	8270	7726
517	8284	7708
518	8298	7691
519	8313	7674
520	8328	7657
521	8343	7640
522	8359	7624
523	8378	7611
524	8393	7594
525	8412	7580
526	8427	7563
527	8444	7548
528	8459	7531
529	8474	7514
530	8488	7497
531	8501	7479
532	8516	7462
533	8531	7445
534	8546	7428
535	8560	7410
536	8575	7393
537	8589	7376
538	8604	7359
539	8620	7343
540	8634	7325
541	8648	7308
542	8661	7289
543	8675	7272
544	8689	7254
545	8702	7236
546	8717	7219
547	8731	7201
548	8745	7184
549	8759	7167
550	8773	7149
551	8788	7132
552	8813	7124
553	8831	7109
554	8848	7094
555	8865	7080
556	8881	7063
557	8899	7049
558	8916	7034
559	8931	7017
560	8947	7001
561	8961	6984
562	8975	6966
563	8986	6947
564	9001	6930
565	9015	6913
566	9029	6895
567	9045	6880
568	9060	6863
569	9076	6847
570	9093	6831
571	9114	6819
572	9131	6804
573	9147	6788
574	9164	6773
575	9180	6758
576	9196	6742
577	9210	6724
578	9224	6707
579	9239	6690
580	9252	6672
581	9266	6655
582	9278	6636
583	9293	6619
584	9307	6602
585	9324	6587
586	9342	6572
587	9362	6559
588	9375	6541
589	9392	6526
590	9408	6511
591	9429	6498
592	9448	6484
593	9464	6469
594	9479	6452
595	9496	6436
596	9511	6420
597	9527	6404
598	9539	6386
599	9554	6369
600	9570	6353
601	9586	6337
602	9603	6323
603	9619	6306
604	9635	6291
605	9649	6273
606	9663	6256
607	9678	6239
608	9692	6222
609	9706	6205
610	9719	6188
611	9733	6170
612	9746	6152
613	9760	6136
614	9775	6119
615	9792	6104
616	9808	6088
617	9825	6073
618	9843	6058
619	9859	6042
620	9877	6028
621	9892	6011
622	9906	5994
623	9919	5977
624	9933	5960
625	9947	5943
626	9962	5926
627	9976	5909
628	9989	5892
629	10003	5875
630	10019	5859
631	10035	5843
632	10050	5827
633	10070	5813
634	10085	5797
635	10099	5780
636	10112	5762
637	10128	5746
638	10139	5728
639	10154	5711
640	10167	5694
641	10181	5677
642	10196	5661
643	10211	5644
644	10226	5628
645	10242	5612
646	10257	5596
647	10268	5578
648	10282	5561
649	10296	5544
650	10310	5527
651	10325	5510
652	10340	5494
653	10354	5477
654	10368	5461
655	10380	5443
656	10394	5426
657	10407	5409
658	10421	5392
659	10433	5374
660	10448	5358
661	10479	5350
662	10494	5334
663	10510	5318
664	10524	5301
665	10536	5284
666	10549	5266
667	10563	5249
668	10574	5231
669	10588	5215
670	10600	5197
671	10615	5181
672	10630	5165
673	10641	5147
674	10656	5130
675	10671	5114
676	10685	5097
677	10700	5081
678	10730	5072
679	10746	5057
680	10764	5042
681	10783	5028
682	10798	5012
683	10812	4995
684	10826	4978
685	10843	4963
686	10856	4946
687	10872	4930
688	10887	4914
689	10900	4897
690	10916	4881
691	10929	4864
692	10944	4848
693	10958	4831
694	10975	4816
695	10991	4800
696	11005	4784
697	11022	4769
698	11034	4751
699	11047	4734
700	11062	4718
701	11074	4701
702	11089	4685
703	11102	4668
704	11116	4651
705	11132	4635
706	11148	4620
707	11165	4605
708	11182	4589
709	11198	4574
710	11213	4557
711	11225	4540
712	11239	4524
713	11253	4507
714	11268	4491
715	11280	4474
716	11292	4457
717	11307	4441
718	11320	4424
719	11337	4408
720	11350	4392
721	11365	4376
722	11382	4360
723	11401	4346
724	11416	4330
725	11430	4313
726	11446	4298
727	11462	4282
728	11476	4266
729	11493	4250
730	11509	4235
731	11524	4219
732	11543	4204
733	11559	4189
734	11574	4173
735	11589	4156
736	11601	4140
737	11615	4123
738	11629	4107
739	11642	4090
740	11657	4074
741	11669	4057
742	11682	4040
743	11696	4024
744	11711	4008
745	11726	3992
746	11740	3976
747	11757	3961
748	11773	3945
749	11788	3929
750	11800	3912
751	11813	3895
752	11824	3878
753	11837	3862
754	11851	3845
755	11865	3829
756	11876	3812
757	11891	3796
758	11905	3780
759	11919	3764
760	11933	3747
761	11949	3732
762	11962	3715
763	11976	3699
764	12009	3689
765	12025	3673
766	12049	3660
767	12064	3644
768	12081	3629
769	12095	3613
770	12108	3596
771	12122	3580
772	12137	3564
773	12155	3549
774	12171	3533
775	12186	3517
776	12201	3501
777	12213	3485
778	12231	3469
779	12245	3453
780	12273	3441
781	12290	3426
782	12304	3410
783	12319	3394
784	12334	3378
785	12346	3361
786	12360	3345
787	12375	3329
788	12388	3312
789	12400	3296
790	12415	3280
791	12427	3263
792	12441	3247
793	12456	3231
794	12471	3215
795	12486	3200
796	12500	3183
797	12516	3168
798	12531	3152
799	12552	3138
800	12569	3122
801	12583	3106
802	12597	3090
803	12614	3075
804	12631	3059
805	12643	3043
806	12656	3026
807	12670	3010
808	12686	2995
809	12701	2979
810	12717	2963
811	12732	2947
812	12744	2931
813	12762	2916
814	12775	2899
815	12788	2883
816	12800	2867
817	12813	2850
818	12826	2834
819	12838	2818
820	12853	2802
821	12870	2787
822	12884	2770
823	12901	2755
824	12921	2740
825	12937	2725
826	12951	2709
827	12965	2693
828	12977	2676
829	12990	2660
830	13002	2644
831	13015	2628
832	13027	2611
833	13038	2595
834	13051	2579
835	13064	2562
836	13078	2546
837	13092	2531
838	13105	2514
839	13118	2498
840	13132	2482
841	13144	2466
842	13156	2450
843	13168	2434
844	13181	2417
845	13193	2401
846	13205	2385
847	13216	2369
848	13231	2353
849	13243	2337
850	13258	2321
851	13270	2305
852	13283	2289
853	13298	2273
854	13316	2258
855	13336	2243
856	13349	2227
857	13364	2211
858	13376	2195
859	13390	2179
860	13402	2163
861	13413	2147
862	13426	2131
863	13440	2115
864	13454	2099
865	13468	2084
866	13481	2068
867	13494	2052
868	13506	2036
869	13519	2020
870	13532	2004
871	13545	1988
872	13560	1972
873	13575	1957
874	13586	1940
875	13600	1925
876	13612	1909
877	13624	1893
878	13637	1877
879	13648	1861
880	13659	1845
881	13671	1829
882	13682	1812
883	13694	1797
884	13707	1781
885	13720	1765
886	13733	1749
887	13748	1734
888	13763	1718
889	13781	1703
890	13795	1687
891	13810	1672
892	13824	1656
893	13838	1640
894	13853	1625
895	13869	1609
896	13884	1594
897	13897	1578
898	13911	1562
899	13924	1547
900	13938	1531
901	13954	1516
902	13971	1500
903	13987	1485
904	14000	1469
905	14019	1454
906	14036	1439
907	14055	1424
908	14075	1409
909	14095	1394
910	14122	1379
911	14144	1364
912	14166	1349
913	14181	1334
914	14195	1318
915	14208	1302
916	14222	1287
917	14236	1271
918	14249	1255
919	14261	1240
920	14274	1224
921	14287	1208
922	14299	1192
923	14312	1177
924	14327	1161
925	14341	1146
926	14355	1130
927	14370	1114
928	14387	1099
929	14401	1083
930	14416	1068
931	14433	1053
932	14447	1037
933	14460	1021
934	14472	1006
935	14484	990
936	14496	974
937	14508	959
938	14521	943
939	14535	927
940	14551	912
941	14568	897
942	14583	881
943	14597	865
944	14611	850
945	14627	834
946	14644	819
947	14661	804
948	14678	788
949	14692	773
950	14710	757
951	14724	742
952	14736	726
953	14748	711
954	14761	695
955	14773	679
956	14785	664
957	14797	648
958	14810	633
959	14822	617
960	14835	602
961	14848	586
962	14863	571
963	14877	555
964	14893	540
965	14909	524
966	14925	509
967	14940	493
968	14956	478
969	14972	463
970	14986	447
971	14999	432
972	15011	416
973	15024	401
974	15036	385
975	15048	370
976	15061	354
977	15074	339
978	15086	323
979	15100	308
980	15114	292
981	15130	277
982	15146	261
983	15159	246
984	15173	231
985	15186	215
986	15206	200
987	15224	184
988	15238	169
989	15252	154
990	15267	138
991	15282	123
992	15302	107
993	15328	92
994	15350	77
995	15370	61
996	15385	46
997	15401	30
998	15414	15
999	15428	0
