iter	Logloss
0	0.6539866004
1	0.6134643847
2	0.5754828534
3	0.5405678543
4	0.5093280101
5	0.4839288036
6	0.4636544372
7	0.4442533484
8	0.4225484496
9	0.4016176108
10	0.3854983914
11	0.3723331383
12	0.3594038138
13	0.3478898339
14	0.337219635
15	0.3288405178
16	0.3184734129
17	0.3106226574
18	0.3013913385
19	0.2943026893
20	0.2881839525
21	0.2792062702
22	0.274182055
23	0.27074789
24	0.2652032766
25	0.261216256
26	0.2558756339
27	0.2516500789
28	0.2481109878
29	0.243236001
30	0.2388049242
31	0.2347181223
32	0.2319330634
33	0.2275956712
34	0.2240815019
35	0.2208963289
36	0.2164776922
37	0.2135913193
38	0.2100594838
39	0.2084565489
40	0.2059046114
41	0.2026707211
42	0.1996555401
43	0.1967043415
44	0.1938054649
45	0.191139383
46	0.1884859207
47	0.1867824747
48	0.18405672
49	0.1811221592
50	0.1783717844
51	0.1762492624
52	0.1731165232
53	0.1712226899
54	0.1686481534
55	0.1660356715
56	0.1645101099
57	0.1630336425
58	0.1609491704
59	0.1590750015
60	0.1575771242
61	0.1555292174
62	0.1536393231
63	0.1519048239
64	0.1497381761
65	0.1478826589
66	0.145975114
67	0.144091045
68	0.1430772876
69	0.1409666921
70	0.1396774079
71	0.1379637214
72	0.1357720369
73	0.1339505378
74	0.132661191
75	0.1316826804
76	0.1298754117
77	0.1287523488
78	0.1278258931
79	0.1264510904
80	0.1251776956
81	0.1242674967
82	0.1227761328
83	0.1215676567
84	0.1208221559
85	0.1199008418
86	0.1190884292
87	0.11833822
88	0.1175221682
89	0.1166304895
90	0.1158369124
91	0.1146693196
92	0.1131755383
93	0.1119925463
94	0.1106089449
95	0.1093862155
96	0.1077603678
97	0.1066858718
98	0.1056698975
99	0.1047891174
100	0.103602816
101	0.1028375526
102	0.1019294642
103	0.1008973892
104	0.09999145076
105	0.09906939594
106	0.09784007164
107	0.09713211696
108	0.09621660528
109	0.09530979463
110	0.09447143766
111	0.09363333541
112	0.09268935078
113	0.0921083846
114	0.0914445709
115	0.09064039221
116	0.09000451224
117	0.0888245295
118	0.08772158714
119	0.08676326451
120	0.08564603688
121	0.08502361849
122	0.08392344737
123	0.08306707707
124	0.08259588836
125	0.08180074112
126	0.08123742444
127	0.0805844509
128	0.07974770112
129	0.07894130241
130	0.0781447218
131	0.07751977803
132	0.07692872179
133	0.07587155842
134	0.0753900886
135	0.07466501634
136	0.0741020614
137	0.07364677456
138	0.07325824284
139	0.07299870928
140	0.07241341842
141	0.07198374821
142	0.07135455388
143	0.07075855232
144	0.07051792886
145	0.06986953368
146	0.06959841143
147	0.06905781172
148	0.06857050294
149	0.06786400618
150	0.06704775962
151	0.06670312563
152	0.06620481592
153	0.06548544482
154	0.06491063916
155	0.06414532779
156	0.06362160712
157	0.06309038965
158	0.06231809824
159	0.06189336343
160	0.06137094409
161	0.06093906847
162	0.06057259237
163	0.0601560648
164	0.05978342713
165	0.05932986495
166	0.05856593946
167	0.05798746212
168	0.05757281581
169	0.05709001179
170	0.05669521359
171	0.05645762471
172	0.05597973157
173	0.0555816665
174	0.05510964261
175	0.05485822258
176	0.05458300089
177	0.05398577083
178	0.05371334779
179	0.05316937368
180	0.0527740394
181	0.05227863717
182	0.05211568544
183	0.05166995232
184	0.0512497322
185	0.05090727986
186	0.05044975552
187	0.05024462054
188	0.05006791466
189	0.04987200454
190	0.04969271951
191	0.04943567348
192	0.04928423031
193	0.04907992503
194	0.04866343975
195	0.04840568773
196	0.04775001289
197	0.04721152854
198	0.04687748049
199	0.04660169766
200	0.04640003678
201	0.04595687811
202	0.04570031884
203	0.04538171384
204	0.04508235354
205	0.04486688996
206	0.04450771883
207	0.04419704781
208	0.04390966977
209	0.04347132384
210	0.04304061121
211	0.04268814295
212	0.04246209108
213	0.04232176628
214	0.04212278294
215	0.04194223966
216	0.04181408191
217	0.04142869256
218	0.04126051598
219	0.04098364168
220	0.04065399608
221	0.04045394763
222	0.04025384906
223	0.04002003991
224	0.0398122574
225	0.03954212615
226	0.03941444863
227	0.03900503134
228	0.03881590315
229	0.03858650324
230	0.0384384885
231	0.03830045732
232	0.03809317044
233	0.03791315828
234	0.03770650301
235	0.03754161757
236	0.03734752475
237	0.03709116332
238	0.03699705127
239	0.0368429162
240	0.03669044158
241	0.036574887
242	0.03638811847
243	0.03607742683
244	0.0357781738
245	0.03553545403
246	0.03535739124
247	0.03518796006
248	0.03503200247
249	0.0348987287
250	0.03466481359
251	0.03457893879
252	0.03439010475
253	0.03427895654
254	0.03419365985
255	0.03394349755
256	0.03372638997
257	0.03352242242
258	0.03336947749
259	0.03324662523
260	0.03291427208
261	0.03267859343
262	0.03251692136
263	0.03226887938
264	0.03213364476
265	0.03188451314
266	0.03167644954
267	0.03149171886
268	0.03132412978
269	0.03121183763
270	0.0311086735
271	0.03086311385
272	0.03059234003
273	0.0304667964
274	0.03032987002
275	0.03012745069
276	0.02996570136
277	0.02977523245
278	0.02960860331
279	0.02947603788
280	0.02940232518
281	0.02929298122
282	0.02926781116
283	0.0291464043
284	0.02894634566
285	0.02874715392
286	0.02856731506
287	0.02838837233
288	0.02829925467
289	0.02810894719
290	0.02788741522
291	0.0277074978
292	0.02752769117
293	0.02746878195
294	0.02726142825
295	0.02709036273
296	0.02689849554
297	0.02677915667
298	0.02667763629
299	0.02652227441
300	0.02641269361
301	0.02621179666
302	0.02601990898
303	0.02581959914
304	0.02571860727
305	0.02562527743
306	0.02549654849
307	0.0254030627
308	0.02531802426
309	0.02512504523
310	0.0250435096
311	0.02486081298
312	0.024731623
313	0.02463703764
314	0.02459703238
315	0.02441404749
316	0.0242601284
317	0.02409987418
318	0.02397518127
319	0.0239055864
320	0.02373739782
321	0.02367707152
322	0.02361116007
323	0.02344561537
324	0.0233502559
325	0.02326193401
326	0.02315036208
327	0.02304344916
328	0.02291727562
329	0.02285237539
330	0.02269871247
331	0.02256414508
332	0.02234842011
333	0.02220509936
334	0.02205181853
335	0.02194968429
336	0.02190572275
337	0.02183865966
338	0.02166714222
339	0.02160132956
340	0.0214454286
341	0.02140552631
342	0.02131295974
343	0.0211788551
344	0.02112889981
345	0.02099844101
346	0.02091033875
347	0.02083346801
348	0.02068778447
349	0.02062745034
350	0.020577737
351	0.02050584773
352	0.02045862937
353	0.02023448498
354	0.02018904151
355	0.02011295205
356	0.01997629449
357	0.01992387646
358	0.01989605418
359	0.01974706932
360	0.01960481799
361	0.01950431823
362	0.0194379242
363	0.01940489168
364	0.0192902066
365	0.01923094242
366	0.01910235481
367	0.01907202254
368	0.0190055506
369	0.01898487487
370	0.01884069218
371	0.01882179148
372	0.01878373702
373	0.01874814467
374	0.01860193483
